objectno	envelope	oldobjectno	objecttype	description	notes	dimensions	imagenotes	imagename	imagecomments	imageexists	imagetype	imagedesc
1302	14 #8 1	3.1333	Dan head	Chou dan head. Chou. Dan? Rebel commander or royalty. Open cut face, clown patch, triangle eye, smiling red lips, teeth, tongue. Small ornamented crown, ciguye 慈菇葉, front diadem, ezi 額子, 2 large red pompoms, twin pheasant feathers, twin white furs hang back. Lacquer.		H:		DSCN4515.JPG	1301, 1302, 1303	YES		
1303	14 #8 1	3.1334	Jing head	Jing head. Demon. Brownish face, round eye with large black pupil, natural deco brow; wide smile outlined in natural; full mouth of teeth and fangs, tongue. Natural yellowish hair hangs back in tiers ending in points; back pointed ear tuft, down pointed long sideburn. Large red pompom over diadem, ezi 額子; twin pheasant feathers. Lacquer.		H:		DSCN4515.JPG	1301, 1302, 1303	YES		
1304	14 #8 2	3.1335	Jing head	Jing head. Jing demon. Military. Rebel. Green painted face, black stylized eye; natural, black cut deco above. Red 'ba' 八 stachio, soul patch, pointed beard, ear tufts. Natural cut diadem, ezi 額子, outlined in green with red and green front emblem. 2 large red pompoms; black ciguye 慈菇葉 bravery symbol. Twin pheasant feathers protrude from red and green settings above ears. Twin natural furs down back. Unusual, alternate green, yellow close fitting hat with red sawtooth back edge ends in point. Natural neck.	See 1338.	H:		DSCN4516.JPG	1304, 1305, 1306	YES		
1305	14 #8 2	3.1335	Jing head	Jing head. Jing demon. Green painted face, black scalloped eye, red, natural cut area above, frowning rubbery red lips. Natural diadem, ezi 額子, ear tassel; 2 large red pompoms; black ciguye 慈菇葉 bravery symbol. Small taizi 太子 style crown sits back on head; many small red pompoms. Twin pheasant feathers protrude from red and green settings above ears. Twin natural furs down back. Lacquer.	See 1262 and others. Old object number 3.1335.	H:		DSCN4516.JPG	1304, 1305, 1306	YES		
1306	14 #8 2	3.1336	Sheng head	Sheng head. Wu jing rebel. White painted face, pink blush. Deco fillet with front emblem black ciguye 慈菇葉 bravery symbol. Black, close fitting shamao hat with diadem, ezi 額子, and oblong fins at back; 2 large red pompoms; twin pheasant feathers protrude from red and green settings; twin natural furs extend back.		H:		DSCN4516.JPG	1304, 1305, 1306	YES		
1307	14 #8 2	3.1337	Sheng head	Sheng head. Sheng. Wu. Rebel commander. Open cut face. Black filigree cut fringe at forehead and at sides. Butterfly deco and many small pompoms on black ciguye 慈菇葉 bravery symbol. Highly ornate cut diadem, ezi 額子. Small taizi 太子 style crown sits back on head; back tassel; many small deco pompoms. Twin pheasant feathers protrude from settings. Red, green, natural, black. Twin natural furs down back.	See 1262 and others. Old object number 3.1337.	H:		DSCN4517.JPG	1307, 1308, 1309	YES		
1308	14 #8 2	3.1338	Sheng head	Sheng head. Rebel. White painted face, pink blush. Prominent diadem, ezi 額子, at front, small ear tassel. Small taizi 太子 style crown sits back on head; back fringe tassel; 2 large red pompoms, many small pompoms. Twin pheasant feathers protrude from settings. Red, green, natural, black. Twin natural furs down back.	See 1262 and others. Old object number 3.1338.	H:		DSCN4517.JPG	1307, 1308, 1309	YES		
1309	14 #8 2	3.1339	Jing head	Jing head. Jing rebel. Red painted face; white stripe below straight black brow. Prominent diadem, ezi 額子, at front, small ear tassel. Small taizi 太子 style crown sits back on head; back fringe tassel; 2 large red pompoms, many small pompoms. Twin pheasant feathers protrude from settings. Red, green, natural, black. Twin natural furs down back.	See 1262 and others. Old object number 3.1339.	H:		DSCN4517.JPG	1307, 1308, 1309	YES		
1310	14 #8 2	3.1340	Jing head	Jing head. Jing. Wu. Rebel. Black, grey, natural painted face; round black eye with large pupil; frowning red lips. Prominent front diadem, ezi 額子, black ciguye 慈菇葉 bravery symbol. Small taizi 太子 style crown sits back on head; back tassel; 1 large red pompom, 1 large green pompom. Twin pheasant feathers protrude from settings. Red, green, natural, black, grey. Twin natural furs down back.	See 1262 and others. Old object number 3.1340.	H:		DSCN4518.JPG	1310, 1311, 1312	YES		
1311	14 #8 2	3.1341	Chou head	Chou head. Chou. Wu. Rebel. Clown patch around fish style eye, swoosh brow, closed red lips, flesh face. Prominent front diadem, ezi 額子, black ciguye 慈菇葉 bravery symbol. Small taizi 太子 style crown sits back on head; back tassel; 2 large red pompoms. Twin pheasant feathers protrude from settings. Red, pink, green, natural, black. Twin natural furs down back.	See 1262 and others. Old object number 3.1341.	H:		DSCN4518.JPG	1310, 1311, 1312	YES		
1312	14 #8 2	3.1342	Jing head	Jing head. Wu jing. Rebel. Grey to black painted face; heavy black eye with natural streak below black straight brow; frowning red lips. Serious expression. Prominent front diadem, ezi 額子, black ciguye 慈菇葉 bravery symbol. Small taizi 太子 style crown sits back on head; back tassel; 2 large black pompoms. Twin pheasant feathers protrude from settings. Red, green, natural, black, grey. Twin natural furs down back.	See 1262 and others. Old object number 3.1342.	H:		DSCN4518.JPG	1310, 1311, 1312	YES		
1313	14 #8 2	3.1343	Jing head	Jing head. Jing. Wu. Rebel. Black, red, white, grey painted face. Large stylized black eye; serious downcast closed red lips. Close fitting fan wang mao 反王帽, crown of a rebel king; cut decos in red, natural, black, grey, green. Black ciguye 慈菇葉 bravery symbo; 2 large black pompoms; twin pheasant feathers; twin natural furs down back..		H:		DSCN4519.JPG	1313, 1314, 1315	YES		
1314	15 #8 2	3.1344	Jing head	Jing head. Jing. Wu. Rebel. Red, black, natural painted face. Large stylized black eye; full black opera style beard covers mouth. Close fitting fan wang mao 反王帽, crown of a rebel king; cut decos in green, red, natural, black. Black ciguye 慈菇葉 bravery symbo; 2 large red pompoms; twin pheasant feathers; twin natural furs down back..		H:		DSCN4519.JPG	1313, 1314, 1315	YES		
1315	14 #8 3	3.1345	Chou head	Chou head. Chou. Wu. Rebel. Open cut face, clown patch; smiling red lips, teeth, tongue. Sitting forward on brow, black fan wang mao 反王帽 style hat with oblong deco fins over twin natural furs. One large red pompom, tassel at ear; twin pheasant feathers. Hat has yellow, natural, red cut decos.		H:		DSCN4519.JPG	1313, 1314, 1315	YES		
1316	14 #8 3	3.1346	Sheng head	Sheng head. Lao sheng. Wu. Rebel military commander. Open cut face, long natural stachios and pointed beard, small red lips. Orange-red upbound ying zajin 硬紮巾; thin black lines form a cross, black verticals end in small natural pompoms. Front diadem, ezi 額子, central emblem, black ciguye 慈菇葉 bravery symbol, 1 large natural pompom; twin pheasant feathers; twin natural furs hang back.		H:		DSCN4520.JPG	1316, 1317, 1318	YES		
1317	15 #8 3	3.1347	Sheng head	Sheng head. Sheng. Wu. Rebel military commander. Open cut face, small red lips. Black-green upbound ying zajin 硬紮巾; thin natural lines form a cross, natural verticals end in small black pompoms. Front diadem, ezi 額子, central emblem, black ciguye 慈菇葉 bravery symbol, 1 large red pompom; twin pheasant feathers; twin natural furs hang back.		H:		DSCN4520.JPG	1316, 1317, 1318	YES		
1318	14 #8 4	3.1348	Jing head	Jing head. Jing. Wu. Demon. Rebel military commander. Green tone painted face, scalloped edge stylized black eye, cut red, white deco above; smiling red lips, teeth, tongue. Red pointed double beard, stachio, soul patch. Kiss band member. Black tone upbound ying zajin 硬紮巾; 4 thin natural verticals end in small red pompoms and at half-way point. Front diadem, ezi 額子, central emblem, black ciguye 慈菇葉 bravery symbol, 1 large red pompom; twin pheasant feathers; twin natural furs hang back.		H:		DSCN4520.JPG	1316, 1317, 1318	YES		
1319	15 #8 4	3.1349	Jing head	Jing head. Jing. Wu. Demon. Rebel warrior. Black, natural deco cut painted face, stylized eye; black pointed beard from jowels, shaven chin, soul patch, stachio. Kiss band member. Hexagonal hat with central knob, ying luomao 硬羅帽; cut decos in natural, green. Front diadem, ezi 額子, central emblem, black ciguye 慈菇葉 bravery symbol; 1 large black pompom; twin pheasant feathers; twin natural furs hang back.		H:		DSCN4521.JPG	1319, 1320, 1321	YES		
1320	14 #8 5	3.1350	Dan head	Dan head. Dan. Wu. General. Open cut face; small earring; short natural fringe at edge of diadem. Noble style shuai kui 帥盔 helmet with central spire; green profile chicken head; open cut decos in red, natural, green, black. 1 large each red, black pompom. Front diadem, ezi 額子, central emblem, black ciguye 慈菇葉 bravery symbol. Back flap with cut 'shou' 壽, black outlined red.		H:		DSCN4521.JPG	1319, 1320, 1321	YES		
1321	14 #8 5	3.1351	Jing head	Jing head. Jing demon. Wu. King? Green painted face, black stylized eye; natural, red cut deco above. Red 'ba' 八 stachio, soul patch, pointed beards from sideburns, ear tufts. Kiss band member. Black, square style wang mao 王帽 hat with red tassel at back; cut decos in green, natural, red. Front emblem on small diadem, ezi 額子; 2 large red pompoms; black ciguye 慈菇葉 bravery symbol.	Same hat as 1322.	H:		DSCN4521.JPG	1319, 1320, 1321	YES		
1322	14 #8 5	3.1352	Sheng head	Sheng head. Sheng. Wu. Open cut face; long black stachios and cut beard end in points. Black, square style wangmao王帽 hat with red tassel at back; cut decos in green, natural, red. Front emblem on small diadem, ezi 額子; 2 large red pompoms; black ciguye 慈菇葉 bravery symbol.	Same hat as 1321.	H:		DSCN4522.JPG	1322, 1323, 1324	YES		
1323	14 #8 5	3.1353	Chou head	Chou head. Lao Chou. Open cut face; natural wrinkles, brow, clown patch. Black, close fitting wangmao 王帽 hat with red tassel at back; cut decos in pink, grey, natural, red. Front emblem on small diadem, ezi 額子; 2 large red pompoms.	Same hat style as 1324.	H:		DSCN4522.JPG	1322, 1323, 1324	YES		
1324	15 #8 5	3.1354	Sheng head	Sheng head. Sheng. Open cut face. Black, close fitting wang mao hat with natural tassel at back; cut decos in pink, grey, natural, red. Front emblem on small diadem, ezi, 額子; 2 large pompoms red and yellow; black ciguye 慈菇葉 bravery symbol.	Same hat style as 1323.	H:		DSCN4522.JPG	1322, 1323, 1324	YES		
1325	14 #8 6	3.1355	Jing head	Jing head. Jing demon. Official. White painted face with black stripes on cheek, frowning red lips; black stylized eye; red mark on forehead; natural neck. Black-green, close fitting wang mao hat with red tassel at back; cut decos in green, natural, red, black. Front emblem on small diadem, ezi 額子; 2 large red pompoms.	Same style face and hat as 1326.	H:		DSCN4523.JPG	1325, 1326, 1327	YES		
1326	14 #8 6	3.1356	Jing head	Jing head. Jing demon. Official. Red painted face with black stripes on cheek, frowning red lips; black stylized eye; yellow mark on forehead; natural neck. Black-green, close fitting wangmao 王帽 hat with red tassel at back; cut decos in green, natural, red, black. Front emblem on small diadem, ezi 額子; 2 large red pompoms.	Same style face and hat as 1325.	H:		DSCN4523.JPG	1325, 1326, 1327	YES		
1327	14 #8 6	3.1357	Jing head	Jing head. Jing. Official. Red painted face with round yellow coin on cheek; yellow, black, white accents on forehead area. Black stylized eye; bull black opera style beard covers mouth; natural neck. Yellow, close fitting wangmao 王帽 hat with red tassel at back; cut decos in green, red. Front emblem on green edge; 1 large yellow pompom.		H:		DSCN4523.JPG	1325, 1326, 1327	YES		
1328	14 #8 6	3.1358	Sheng head	Sheng head. Sheng. Wen. Open cut face. Close fitting eunuch shamao 紗帽 hat; black with yellow dragon profile on cut alternating red and green waves; green edge, red, yellow, grey decos; 2 large red pompoms. Natural neck.		H:		DSCN4524.JPG	1328, 1329, 1330	YES		
1329	15 #8 6	3.1359	Dan head	Dan head. Dan. Wen. Open cut face; small earring. Black hair tucked under close fitting black fur hat. Red top knot over blue and red deco. Large profile greenish setting and flowerlike buds at ear. Natural neck.		H:		DSCN4524.JPG	1328, 1329, 1330	YES		
1330	14 #8 7	3.1360	Sheng head	Sheng head. Wen sheng. Open cut face black hair under black shamao hat with natural front emblem. Hat covered by red wind cap, yellow lining. Natural neck.		H:		DSCN4524.JPG	1328, 1329, 1330	YES		
1331	14 #8 7	3.1361	Creature head	Shen gui head, pig. Pig head. Grey profile face, cut wrinkles, teeth, red tongue. Yellow close fitting hat with black bat and cloud motif; 3/4 view of symetrical curved back piece; twin green tassels. Wensheng jin 文生巾 style hat. Natural neck.	See 1332.	H:		DSCN4525.JPG	1331, 1332, 1333	YES		
1332	14 #8 7	3.1362	Creature head	Shen gui head, pig. Pig head. Grey profile cut face, black markings; teeth, red tongue. Black razor back cut hair, black down pointed ears. Natural neck.	See 1331.	H:		DSCN4525.JPG	1331, 1332, 1333	YES		
1333	14 #8 7	3.1363	Dan head	Dan head. Dan. Manchu lady with traditional angular headdress and small earring. Open cut face. Black hair tucked under hat with large red, pink, yellow flowers with green leaves; red tassel hangs at back. Natural neck.		H:		DSCN4525.JPG	1331, 1332, 1333	YES		
1334	14 #8 8	3.1364	Chou head	Chou head. Chou. Rebel. Pockmarked ¾ face, round eye, crescent eye, dali stachios, diadem, ezi 額子, rebel fox tail, one pheasant feather, tassel hanging from short vertical queue, green pate. Natural neck. Crazed expression.		H:		DSCN4526.JPG	1334, 1335, 1336	YES		
1335	14 #8 8	3.1365	Jing head	Jing head. Jing. Wu. Rebel general. Red painted face; heavy black eye; white edged teardrop shape brow. Full black opera style beard covers mouth. Red zajin 紮巾 headdress, three rows light to darker blue pompoms, diadem, ezi 額子, with green and red front emblem; black ciguye 慈菇葉 bravery symbol deco with 2 each small red, green pompoms. 4 small green pompoms atop verticals; twin pheasant feathers, twin natural white furs down back. Natural neck.		H:		DSCN4526.JPG	1334, 1335, 1336	YES		
1336	14 #8 8	3.1366	Jing head	Jing head. Jing. Wu. Rebel military. Green painted face; stylized black eye; red curl on white stylized brow. Red layered hair hangs back; red stachio into long pointed sideburn beard; flesh chin; lips, teeth, tongue. Kiss band member. Natural white diadem, ezi 額子, with green and red front emblem; black ciguye 慈菇葉 bravery symbol; twin pheasant feathers, twin natural white furs down back. Natural neck.	See 1337.	H:		DSCN4526.JPG	1334, 1335, 1336	YES		
1337	14 #8 8	3.1367	Jing head	Jing head. Jing. Wu. Rebel military. White painted face; stylized black eye; black curl on white stylized brow. Black layered hair hangs back; black stachio into long pointed sideburn beard; flesh chin; lips, teeth, tongue. Kiss band member. Natural white diadem, ezi 額子, with green and red front emblem; black ciguye 慈菇葉 bravery symbol; twin pheasant feathers, twin natural white furs down back. Natural neck.	See 1336.	H:		DSCN4527.JPG	1337, 1338, 1339	YES		
1338	14 #8 8	3.1368	Jing head	Jing head. Jing demon. Military. Rebel. Green painted face, black stylized eye; crescent cut deco above, red and black cut decos on cheek. Red 'ba' 八 stachio, soul patch, pointed beard, ear tufts. Natural cut diadem, ezi 額子, outlined in green with red and green front emblem. 2 large pompoms, one red, one green; black ciguye 慈菇葉 bravery symbol. Twin pheasant feathers protrude from red and green settings above ears. Twin natural furs down back. Unusual, alternate blue and red close fitting hat with yellow sawtooth back edge ends in point. Natural neck.	See 1304. Some breaks in filigree cut diadem. Small areas of pink where color has bled from another figure.	H:		DSCN4527.JPG	1337, 1338, 1339	YES		
1339	14 #9 1	3.1369	Sheng head	Sheng head. Sheng. Wu. White painted face with pink blush covering forehead and eye area. Deep red blood splat wound mark on forehead. Black three strand opera style beard and stachio cover mouth. Black faji 髮髻, ciguye 慈菇葉; fine outline in black ink visible. Natural neck.		H:		DSCN4527.JPG	1337, 1338, 1339	YES		
1340	14 #9 1	3.1370	Sheng head	Sheng head. Lao sheng. Open cut face; natural color, filigree cut full opera style beard and top knot protruding through black faji 髮髻 close fitting hat.		H:		DSCN4528.JPG	1340, 1341, 1342	YES		
1341	14 #9 1	3.1371	Jing head	Jing head. Jing. Wu. Red painted face, yinyang symbol on forehead. Full black opera style beard covers mouth; nearly invisible plugs attach it to self half way down its length. Black faji close fitting hat, green edge, ciguye 慈菇葉 bravery symbol. Natural neck.		H:		DSCN4528.JPG	1340, 1341, 1342	YES		
1342	14 #9 1	3.1372	Sheng head	Sheng head. Wu. Lao sheng. White painted face, pink blush around eye and forehead areas. Pointed opera style beard and stachios cover mouth, natural color. Black faji close fitting hat, black ciguye 慈菇葉 bravery symbol. Natural neck.		H:		DSCN4528.JPG	1340, 1341, 1342	YES		
1343	14 #9 1	3.1373	Sheng head	Sheng head. Wu. Lao sheng. White painted face, pink blush around eye and cheek areas. Full opera style beard and stachios cover mouth, filigree cut, grey color. Grey filigree top know protruding through black faji 髮髻 close fitting hat. Yellow ribbon ties front with prominent vertical; twin ribbons extend down at nape.		H:		DSCN4529.JPG	1343, 1344, 1345	YES		
1344	14 #9 1	3.1374	Jing head	Jing head. Jing. Wu. Grey, black, red, natural painted face. Heavy black eye with points extending all around. Black outlined red frowning lips. Fierce and angry. Black close fitting faji 髮髻 hat; ciguye 慈菇葉 bravery symbol. Kiss band member.		H:		DSCN4529.JPG	1343, 1344, 1345	YES		
